,m_name,mdl,acc,fpr,tpr,auc
dec_tree,dec_tree_train,DecisionTreeClassifier(max_depth=4),0.8311275477343084,"[0.         0.0074215  0.00818673 0.00859286 0.03605156 0.03900135
 0.04086527 0.04196824 0.07146613 0.08611675 0.60813543 0.61187183
 0.77464891 0.82896779 0.83653036 0.83821474 1.        ]","[0.         0.13311221 0.14116747 0.14309927 0.26491225 0.27169179
 0.27517268 0.27710448 0.31721674 0.33412914 0.91210293 0.91605766
 0.98192123 0.99172605 0.99305644 0.99323869 1.        ]",0.7285875820695953
dec_tree,dec_tree_test,DecisionTreeClassifier(max_depth=4),0.8329160736731662,"[0.         0.00796038 0.00867707 0.0090994  0.03625683 0.03916198
 0.04119687 0.04204154 0.0722961  0.0865787  0.60602531 0.60942959
 0.77513854 0.8281096  0.83566044 0.83733699 1.        ]","[0.         0.13709588 0.1449851  0.14652985 0.26895068 0.2761227
 0.2795432  0.28108794 0.32130641 0.33796756 0.91365994 0.91702527
 0.98146309 0.99001434 0.99150392 0.99183493 1.        ]",0.7306139259521047
rand_for,rand_for_train,RandomForestClassifier(max_depth=4),0.8285650966459593,[0.         0.         0.         ... 0.99997007 0.99999145 1.        ],"[0.00000000e+00 1.82245631e-05 2.36919320e-04 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]",0.7945667438876707
rand_for,rand_for_test,RandomForestClassifier(max_depth=4),0.8298931053468103,[0.         0.         0.         ... 0.99994881 0.9999744  1.        ],"[0.0000000e+00 5.5169370e-05 6.6203244e-04 ... 1.0000000e+00 1.0000000e+00
 1.0000000e+00]",0.7959680472412991
grad_boost,grad_boost_train,GradientBoostingClassifier(max_depth=4),0.857856682803183,[0.         0.         0.         ... 0.99997862 0.99998717 1.        ],"[0.00000000e+00 1.82245631e-05 1.65843524e-03 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]",0.8640865094870749
grad_boost,grad_boost_test,GradientBoostingClassifier(max_depth=4),0.8594994961719457,[0.         0.         0.         ... 0.99904015 0.99906574 1.        ],"[0.00000000e+00 5.51693700e-05 1.37923425e-03 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]",0.8611468712588688
